label,value,slug ,optionType
"Advanced Plastics Product Simulation and Evaluation Centre, Tamot","advanced plastics product simulation and evaluation centre, tamot","advanced-plastics-product-simulation-and-evaluation-centre,-tamot",institute
"Advanced Technical Training Centre, Sikkim","advanced technical training centre, sikkim","advanced-technical-training-centre,-sikkim",institute
"Advent Institute, Udaipur","advent institute, udaipur","advent-institute,-udaipur",institute
"Adwaita Mission Institute of Technology, Maniyarpur","adwaita mission institute of technology, maniyarpur","adwaita-mission-institute-of-technology,-maniyarpur",institute
"Adyapeath Annada Polytechnic College, Kolkata","adyapeath annada polytechnic college, kolkata","adyapeath-annada-polytechnic-college,-kolkata",institute
"AECS Pavan Polytechnic, Kolar","aecs pavan polytechnic, kolar","aecs-pavan-polytechnic,-kolar",institute
"Aeronautical Training Institute, Lucknow","aeronautical training institute, lucknow","aeronautical-training-institute,-lucknow",institute
"AERP ITM Polytechnic, Palwal","aerp itm polytechnic, palwal","aerp-itm-polytechnic,-palwal",institute
"AES Sanchalit College of PGDHRM, Anjar","aes sanchalit college of pgdhrm, anjar","aes-sanchalit-college-of-pgdhrm,-anjar",institute
"AES Sanchalit College of PGDS and PM, Kutch","aes sanchalit college of pgds and pm, kutch","aes-sanchalit-college-of-pgds-and-pm,-kutch",institute
"Affinity Business School, Bhubaneswar","affinity business school, bhubaneswar","affinity-business-school,-bhubaneswar",institute
"AFMC Pune, Armed Forces Medical College","afmc pune, armed forces medical college","afmc-pune,-armed-forces-medical-college",institute
"AG Patil Institute of Technology, Solapur","ag patil institute of technology, solapur","ag-patil-institute-of-technology,-solapur",institute
"AG Patil Polytechnic Institute, Solapur","ag patil polytechnic institute, solapur","ag-patil-polytechnic-institute,-solapur",institute
"AGM Rural College of Engineering and Technology, Hubli","agm rural college of engineering and technology, hubli","agm-rural-college-of-engineering-and-technology,-hubli",institute
"Agnel Institute of Technology and Design, Goa","agnel institute of technology and design, goa","agnel-institute-of-technology-and-design,-goa",institute
"Agnel Polytechnic, Goa","agnel polytechnic, goa","agnel-polytechnic,-goa",institute
"Agnel Polytechnic, Vashi","agnel polytechnic, vashi","agnel-polytechnic,-vashi",institute
"Agnel Technical College, Mumbai","agnel technical college, mumbai","agnel-technical-college,-mumbai",institute
"Agni College of Technology, Thalambur","agni college of technology, thalambur","agni-college-of-technology,-thalambur",institute
"Agni School of Architecture and Design Excellence, Dindigul","agni school of architecture and design excellence, dindigul","agni-school-of-architecture-and-design-excellence,-dindigul",institute
"Agni School of Business Excellence, Dindigul","agni school of business excellence, dindigul","agni-school-of-business-excellence,-dindigul",institute
"Agnihotri College of Engineering, Wardha","agnihotri college of engineering, wardha","agnihotri-college-of-engineering,-wardha",institute
"Agnihotri School of Technology, Wardha","agnihotri school of technology, wardha","agnihotri-school-of-technology,-wardha",institute
"Agnos College of Technology, Bhopal","agnos college of technology, bhopal","agnos-college-of-technology,-bhopal",institute
"Agra Public College of Technology and Management, Agra","agra public college of technology and management, agra","agra-public-college-of-technology-and-management,-agra",institute
"Agrasen Polytechnic College, Balod","agrasen polytechnic college, balod","agrasen-polytechnic-college,-balod",institute
"Agrawal PG College, Jaipur","agrawal pg college, jaipur","agrawal-pg-college,-jaipur",institute
"Agricultural College and Research Institute, Tamil Nadu Agricultural University, Coimbatore","agricultural college and research institute, tamil nadu agricultural university, coimbatore","agricultural-college-and-research-institute,-tamil-nadu-agricultural-university,-coimbatore",institute
"Agricultural Engineering College and Research Institute, Coimbatore","agricultural engineering college and research institute, coimbatore","agricultural-engineering-college-and-research-institute,-coimbatore",institute
