label,value,slug ,optionType
Micro-Electronics,micro-electronics,micro-electronics,specialization
Microbiology,microbiology,microbiology,specialization
Military Science,military science,military-science,specialization
Mineral Engineering,mineral engineering,mineral-engineering,specialization
Mining Engineering,mining engineering,mining-engineering,specialization
Missile Technology,missile technology,missile-technology,specialization
Molecular Biology and Biochemistry,molecular biology and biochemistry,molecular-biology-and-biochemistry,specialization
Molecular Biology and Genetic Engineering,molecular biology and genetic engineering,molecular-biology-and-genetic-engineering,specialization
Molecular Biology and Human Genetics,molecular biology and human genetics,molecular-biology-and-human-genetics,specialization
Multimedia and Animation,multimedia and animation,multimedia-and-animation,specialization
Multimedia Technology,multimedia technology,multimedia-technology,specialization
Museology,museology,museology,specialization
Music,music,music,specialization
Nano Technology,nano technology,nano-technology,specialization
Natural Resource Management,natural resource management,natural-resource-management,specialization
Naval Architecture and Ocean Engineering,naval architecture and ocean engineering,naval-architecture-and-ocean-engineering,specialization
Nematology,nematology,nematology,specialization
Neonatology,neonatology,neonatology,specialization
Network Protocol Design,network protocol design,network-protocol-design,specialization
Neural Networks,neural networks,neural-networks,specialization
Neuro Radiology,neuro radiology,neuro-radiology,specialization
Neuroscience,neuroscience,neuroscience,specialization
Nuclear Engineering,nuclear engineering,nuclear-engineering,specialization
Nuclear Medicine Technology,nuclear medicine technology,nuclear-medicine-technology,specialization
Nuclear Power Technology,nuclear power technology,nuclear-power-technology,specialization
Nuclear Science and Engineering,nuclear science and engineering,nuclear-science-and-engineering,specialization
Nursing,nursing,nursing,specialization
Nutrition and Dietetics,nutrition and dietetics,nutrition-and-dietetics,specialization
Nutrition and Food Processing,nutrition and food processing,nutrition-and-food-processing,specialization
Obstetrics and Gynaecology,obstetrics and gynaecology,obstetrics-and-gynaecology,specialization
Obstetrics and Gynecological Nursing,obstetrics and gynecological nursing,obstetrics-and-gynecological-nursing,specialization
Occupational Therapy,occupational therapy,occupational-therapy,specialization
Oceanography,oceanography,oceanography,specialization
